% Device,11E101663
% File name,11E101663_20120821_122817
% Cast time (UTC),2012-08-21 12:28:17
% Cast time (local),2012-08-21 13:28:17
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,43.0390326
% Start longitude,-70.6471651
% Start altitude,-30.739999771118164
% Start GPS horizontal error(Meter),2.26999998092651
% Start GPS vertical error(Meter),3.34999990463257
% Start GPS number of satellites,6
% End latitude,43.0391689
% End longitude,-70.646681
% End altitude,-18.450000762939453
% End GPS horizontal error(Meter),9.64999961853027
% End GPS vertical error(Meter),14.4399995803833
% End GPS number of satellites,6
% Cast duration (Seconds),218.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-06-03
% Temperature calibration date,2011-06-03
% Pressure calibration date,2011-06-01
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
3.15,3.1426415107481072,18.299108200628034,41800.824210741208,48269.84428530898,31.294534983530127,1512.5150071038515,1022.3790772038885
3.4499999999999997,3.4419286930014681,18.268110203052363,41779.733401045574,48280.053375312666,31.300432332593385,1512.4357775844826,1022.3924375484945
3.75,3.7412095039952611,18.215973840949275,41758.256713019342,48313.451024735819,31.322139083434966,1512.3122948338369,1022.4229965975185
4.05,4.0404789201221289,18.121308520987068,41708.64494404327,48361.988973205371,31.352828706899963,1512.0736486796989,1022.4706845279585
4.35,4.3397403066373217,18.03900207008757,41612.481813827122,48342.75867509962,31.335021517644716,1511.8158692816421,1022.4782517203596
4.6499999999999995,4.6389951005286649,17.9062174789983,41498.822865311937,48359.917633877594,31.341095322522026,1511.4352425346528,1022.5161245158754
4.9499999999999993,4.9382403706652562,17.749882254503721,41339.450519248858,48350.367695917717,31.326599296973953,1510.9598845102628,1022.5437240036089
5.2499999999999991,5.2374808097503349,17.681698728455945,41259.4204610783,48333.854661659221,31.31124575074616,1510.7444953449651,1022.5495292406165
5.55,5.5367151448497447,17.587280491354392,41193.135659140848,48363.191055957934,31.327681883921684,1510.4865521541137,1022.5858306897962
5.85,5.8359325373333748,17.48376698974953,41182.365416349916,48468.354308466085,31.398361035638825,1510.262452201697,1022.6657223931744
6.1499999999999995,6.1351330693232935,17.234651973933325,40919.185078495029,48442.668716377513,31.366894242966769,1509.4833026925517,1022.701470644797
6.4499999999999993,6.434315669560899,16.759127138682235,40451.79049919574,48434.669581161477,31.335299824851027,1508.0100205010747,1022.788705068138
6.7499999999999991,6.7334683164586622,16.31012906865282,40068.394312455363,48497.057762596385,31.354275205479055,1506.6584616389034,1022.9066718809806
7.0499999999999989,7.0325817923366829,15.899542409753805,39783.478720293846,48635.60369663965,31.428808433418986,1505.4748434641958,1023.0569963500603
7.35,7.3316544514268482,15.552525749160735,39546.917566372511,48760.116461045545,31.495909915977126,1504.469809932127,1023.1862865555025
7.6499999999999995,7.6306927874802009,15.239908351805694,39319.245025059827,48856.0320283327,31.543669627920394,1503.5421532526991,1023.2922464536382
7.9499999999999993,7.9297070815643478,15.047374577922277,39169.775843367905,48904.299290772753,31.564800948381031,1502.9592714389471,1023.3512170714657
8.25,8.2287042925777367,14.885511374854225,39056.872000244854,48961.22759111497,31.594018582770008,1502.4810584921149,1023.4095696165103
8.5499999999999989,8.5276889254731714,14.776418475851264,38964.252514937471,48979.086111778932,31.598786825418493,1502.1418194760668,1023.4377110787804
8.85,8.8266594210024039,14.631503592464744,38887.465466065791,49061.304695817271,31.646995380454829,1501.7368812150849,1023.5067496846714
9.1499999999999986,9.1256125064790581,14.474778621412,38770.206652510467,49107.566915499614,31.668248493342741,1501.2606676713438,1023.5573066038461
9.45,9.42455498653807,14.382325656601505,38689.958841049614,49120.967586336752,31.670647268318369,1500.9690039095437,1023.5797605185163
9.75,9.7234899992600123,14.32371865686771,38659.601710445655,49155.577131174912,31.690828109496245,1500.8073827462672,1023.608833138691
10.049999999999999,10.022418538895096,14.232092836416427,38570.897861669284,49157.328953232136,31.684787036617454,1500.5073923631999,1023.6244799567264
10.35,10.321334153414654,13.958950998559157,38348.608192108855,49216.684753045745,31.705344381445258,1499.6442806714081,1023.6977473669793
10.649999999999999,10.620227217830195,13.761980872245591,38228.810232524476,49312.250525226795,31.757468490085394,1499.0632597450092,1023.7793309844759
10.95,10.919099829271149,13.623900497596976,38146.835978965304,49382.42317258798,31.795982288270732,1498.6579301061881,1023.8382517645335
11.25,11.217957202955549,13.538822297459245,38109.013386879655,49442.368908860088,31.831528697741952,1498.423252526834,1023.8841210488837
11.549999999999999,11.516801144107069,13.484964743100923,38108.774038463664,49511.249773582422,31.876108744230649,1498.3022347077574,1023.9306829293215
11.85,11.815636979412103,13.420532471955283,38044.441065476829,49510.55935162666,31.869869454097248,1498.0860074433529,1023.9400559464451
12.149999999999999,12.114470651934617,13.344989896391176,37962.312002929742,49501.006657590158,31.856257991899206,1497.8237547858923,1023.9458936252211
12.45,12.413302839682727,13.286053789251469,37898.211272162196,49493.493741579921,31.845531779125583,1497.619763340171,1023.9506204814893
12.75,12.712128544817272,13.163692604128315,37809.059242537507,49535.37860543342,31.864429973909161,1497.2385591865414,1023.9907101764711
13.049999999999999,13.01094141016655,13.042819346410656,37733.088961238376,49592.9187288251,31.894490501514831,1496.8743159790736,1024.039009012376
13.35,13.309740198898181,12.838580150358354,37560.956282198938,49633.1470855193,31.9041781700186,1496.2040723555826,1024.0875838538777
13.649999999999999,13.608520199956161,12.595715078791024,37388.564324087667,49724.502174956346,31.946192889092529,1495.4377360458236,1024.168189522798
13.95,13.907282391093442,12.422396516252565,37244.285436601174,49762.026091014726,31.955917387192407,1494.8651950701114,1024.2100725714481
14.249999999999998,14.206034419916046,12.292381168057407,37131.606938477795,49784.440917227723,31.9588476959535,1494.4300589709294,1024.238256074126
14.549999999999999,14.504780589182744,12.225553095428193,37070.163912399876,49791.286938531208,31.956877645743742,1494.2040932644488,1024.2506397647512
14.85,14.803521668425661,12.178081217069408,37045.045265275912,49821.082816220733,31.973208283649768,1494.0659016576042,1024.2735485073563
15.149999999999999,15.102256723355303,12.148091329850118,37034.353853970591,49846.9134324162,31.988465689329729,1493.9862187775195,1024.2923399880174
15.45,15.400986697606964,12.124961109472952,37028.327178276835,49869.853154982215,32.002350039924778,1493.9283701904858,1024.3087792584927
15.749999999999998,15.699713826285022,12.116542076962968,37021.681439878623,49872.212453294211,32.003048329001416,1493.905255525322,1024.3122437384889
16.05,15.998438779981068,12.107994816031933,37026.121052434974,49889.6817734253,32.014517615134565,1493.8945397419382,1024.3240846856331
16.35,16.297161188738677,12.099569883548428,37022.8691803411,49896.628581614175,32.018487485021616,1493.8752953615283,1024.3300864585751
16.650000000000002,16.595882534972361,12.082192646787927,37003.607647012308,49894.039437575673,32.014727103733456,1493.8160773989894,1024.3317611223552
16.95,16.894603111358627,12.050715915757881,36971.393441407447,49892.95419482475,32.010578799986938,1493.7079062940643,1024.3357557499135
17.25,17.193321119346248,12.011187050784852,36943.433253852876,49908.468489758234,32.017426880267166,1493.5850643266354,1024.3497654082853
17.55,17.492034008201667,11.950943599979091,36901.915660295228,49933.658068093435,32.028989405104866,1493.3963508022307,1024.3712544744647
17.85,17.790742337517131,11.876649402162062,36829.393870653046,49935.927568969637,32.022671141788294,1493.1374621057612,1024.3814269524169
18.150000000000002,18.089448448837203,11.844270920694587,36798.212554480153,49937.49589140524,32.020240948945229,1493.027655725725,1024.3868567520694
18.45,18.3881511603645,11.797092629792518,36767.374613244989,49959.619069845387,32.030877964120478,1492.8821868965244,1024.4051355456925
18.75,18.686848710509189,11.757737639573225,36744.395754528334,49981.851596559463,32.042400133568719,1492.7646879385466,1024.4226487923704
19.05,18.985540950761205,11.72917624338973,36736.010452538423,50009.303515417021,32.058782283439839,1492.6902883839362,1024.4419475710463
19.35,19.284230008915724,11.712182332146899,36718.978483173574,50009.255988877463,32.056795448455553,1492.633949150598,1024.4448659541408
19.650000000000002,19.582917911087357,11.70150193211532,36712.389049991878,50014.831978670372,32.059495239121027,1492.6050897369976,1024.4502668177611
19.95,19.881604191932958,11.692871304593686,36709.060260317514,50022.06008299192,32.06359246659644,1492.5850036335817,1024.4563773915713
20.25,20.180289737349476,11.682519340777601,36694.786688766144,50016.720972562689,32.058544279610182,1492.5479909321055,1024.4557012781033
20.55,20.478974932137827,11.672565198511439,36686.464051399293,50018.949932753021,32.05893245626455,1492.5188571540648,1024.4591722402861
20.85,20.777658999621288,11.661385520139893,36678.322223227377,50023.09883116417,32.060554834055566,1492.4869382703528,1024.4638240092768
