% Device,10M100491
% File name,10M100491_20120222_070924
% Cast time (UTC),2012-02-22 07:09:24
% Cast time (local),2012-02-22 07:09:24
% Sample type,Cast
% Cast data,Processed
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),145.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-02-01
% Temperature calibration date,2011-02-01
% Pressure calibration date,2011-01-27
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
4.6499999999999995,4.62228821929021,9.73807832090334,37982.358256887608,54669.630694614512,35.142604764485263,1489.1391305795355,1027.1294562169962
4.9499999999999993,4.920480082038126,9.7463930902096827,38006.964512035745,54691.956677864182,35.159709410291569,1489.1949541085505,1027.1427792789198
5.2499999999999991,5.2186695663322036,9.7572972646680824,38022.33507941624,54696.909817074833,35.164749998394143,1489.2453780383937,1027.1462327877489
5.55,5.5168581973930237,9.7645557467875221,38032.6932990336,54700.387337105669,35.168186717352825,1489.2806867798613,1027.1490485369295
5.85,5.8150463540082553,9.7717376370261473,38040.51782718992,54700.340581603639,35.169085086212952,1489.312615420956,1027.1498925095796
6.1499999999999995,6.1132335055787141,9.78097457809456,38057.713226342035,54710.53311184558,35.177629799942885,1489.3612805574421,1027.1563637491292
6.4499999999999993,6.411421601821262,9.7869653572308852,38047.481816316409,54686.405418815571,35.161085696214464,1489.3676148402396,1027.1437755985048
6.7499999999999991,6.7096117743381454,9.7911334493377726,38049.120472358765,54682.208798637177,35.158557464408226,1489.3844871114895,1027.1424509083981
7.0499999999999989,7.0078026731207324,9.7921116235935912,38044.621831387725,54674.206387617625,35.152825571525,1489.3859532528604,1027.1391633895571
7.35,7.3059931897017858,9.7847855416281515,38042.415550970429,54682.550084208167,35.15757380359242,1489.3702836538441,1027.1454751124243
7.6499999999999995,7.6041809574361166,9.7815676590277487,38053.296920980079,54703.251581449549,35.17179264634354,1489.3809791898964,1027.1584920274806
7.9499999999999993,7.9023637716582193,9.7761915888912,38072.202996427026,54738.890684897036,35.196398133244251,1489.3965753868126,1027.1799931660464
8.25,8.2005425651643034,9.7735960979511809,38075.823339534392,54748.181971576094,35.202530068976131,1489.3996427004217,1027.1865841692247
8.5499999999999989,8.4987228200316167,9.78286958761108,38064.839495320979,54717.796355822909,35.181990521723691,1489.412932075601,1027.1703161244122
8.85,8.7969063986826654,9.7772359341816983,38049.00844326512,54703.899578556906,35.171046059192044,1489.3842030072383,1027.1640757776802
9.1499999999999986,9.0950899696482121,9.7698137558942868,38047.149751707511,54712.904157068777,35.176250903699739,1489.3687367429907,1027.1707602274416
9.45,9.39327221610376,9.7692805796395348,38048.4975253805,54715.681330003186,35.178020815437421,1489.3739124944725,1027.1735921579591
9.75,9.6914535163754572,9.7672001851761472,38049.597500139367,54720.537313158093,35.181049523725164,1489.3750465445103,1027.1776701941044
10.049999999999999,9.9896332665490934,9.7662640985499252,38055.64151609713,54730.703028980904,35.188055549286304,1489.3851622668628,1027.1846629454831
