*
*Lat 31/24/37
*Lon 080/50/55
*Cast 1 22 Apr 2014 13:33:08 2264 4.13 received stop
*ConfigurationData:
*DeviceType=90745 UCTD
*Version=CTD
*SerialNumber=70200187
*Settings:
*ReplyFormat=plain text
*BlueToothBaudRate=9600
*CalibrationCoefficients:
*Temperature:
*CalDate=16-Jan-14
*Coefficients:
*A0=8.767728e-04
*A1=2.785097e-04
*A2=-2.099580e-06
*A3=1.930474e-07
*Conductivity:
*CalDate=16-Jan-14
*Coefficients:
*G=-9.887334e-01
*H=1.402299e-01
*I=-2.264862e-04
*J=3.930030e-05
*PCOR=-9.570000e-08
*TCOR=3.250000e-06
*SLOPE=1.000000e+00
*Pressure:
*CalDate=13-Jan-14
*SerialNumber=2143155
*Coefficients:
*A0=-2.172705e-01
*A1=8.779983e-03
*A2=6.893222e-11
*PTEMP A0=-9.035770e+01
*PTEMP A1=3.757729e-02
*PTEMP A2=8.382934e-07
*TC A0=5.257248e+05
*TC A1=-1.266389e+01
*TC A2=5.543477e-01
*TC B0=1.050162e+02
*TC B1=-2.284512e-03
*TC B2=0.000000e+00
*RANGE=2.900000e+03
*OFFSET=0.000000e+00
*sampling rate: 16 Hz
*scan# C[S/m]  T[degC]  P[dbar]
1614  4.25896 17.572    0.219
1615  4.34917 17.572    0.281
1616  4.37771 17.572    0.406
1617  4.42417 17.572    0.406
1618  4.42687 17.572    0.281
1619  4.42875 17.572    0.250
1620  4.42750 17.572    0.313
1621  4.41292 17.572    0.406
1622  4.40854 17.572    0.313
1623  4.42000 17.571    0.219
1624  4.41583 17.571    0.250
1625  4.41667 17.571    0.375
1626  4.42208 17.571    0.344
1627  4.41812 17.571    0.219
1628  4.41979 17.571    0.125
1629  4.41771 17.571    0.125
1630  4.41687 17.571    0.156
1631  4.42292 17.571    0.188
1632  4.41521 17.572    0.250
1633  4.39687 17.572    0.281
1634  4.39917 17.573    0.156
1635  4.41667 17.573    0.094
1636  4.41146 17.573    0.031
1637  4.39292 17.573    0.000
1638  3.47563 17.572    0.031
1639  1.61167 17.573    0.000
1640  1.70708 17.574    0.063
1641  4.20167 17.574    0.188
1642  4.29417 17.574    0.313
1643  4.30396 17.574    0.313
1644  4.29667 17.573    0.406
1645  4.19271 17.572    0.281
1646  4.13750 17.572    0.188
1647  3.99938 17.573    0.094
1648  4.01125 17.572    0.063
1649  4.16000 17.571    0.063
1650  4.38667 17.571    0.031
1651  4.39292 17.571    0.094
1652  4.14312 17.572    0.125
1653  3.95500 17.571    0.094
1654  4.00521 17.571    0.063
1655  4.26542 17.570    0.125
1656  4.37312 17.570    0.063
1657  4.39854 17.571    0.094
1658  4.12104 17.573    0.156
1659  4.09292 17.574    0.063
1660  4.11000 17.574    0.000
1661  4.25604 17.573    0.031
1662  4.42250 17.573    0.031
1663  4.38354 17.573    0.031
1664  3.61917 17.574    0.031
1665  1.19104 17.575    0.000
1666  0.73604 17.576    0.000
1667  1.16333 17.580    0.000
1668  2.54792 17.583    0.000
1669  4.04167 17.585    0.000
1670  3.26479 17.584    0.000
1671  3.89812 17.585    0.000
1672  3.35042 17.591    0.000
1673  1.94979 17.592    0.000
1674  1.60938 17.587   -0.031
1675  1.31271 17.586   -0.031
1676  0.96688 17.589    0.000
1677  0.84917 17.594    0.031
1678  0.67521 17.600    0.000
1679  0.61979 17.601    0.000
1680  0.43854 17.605    0.000
1681  0.37875 17.612    0.000
1682  0.32354 17.615    0.000
1683  0.25708 17.618    0.000
1684  0.20104 17.620    0.000
1685  0.21167 17.621    0.000
1686  0.18167 17.620    0.000
1687  0.16396 17.624    0.000
1688  0.17375 17.628    0.000
1689  0.16438 17.631   -0.031
1690  0.13458 17.632    0.000
1691  0.12271 17.628    0.000
1692  0.12146 17.621    0.000
1693  0.09208 17.615    0.000
1694  0.01396 17.618    0.000
1695  0.00000 17.622    0.000
1696  0.00000 17.623    0.000
1697  0.00000 17.622    0.000
1698  0.00000 17.624    0.000
1699  0.00000 17.626    0.000
1700  0.00000 17.628    0.000
1701  0.00000 17.630    0.000
1702  0.00000 17.632    0.000
1703  0.00000 17.638    0.000
1704  0.00000 17.641    0.000
1705  0.00000 17.643    0.000
1706  0.00000 17.643    0.000
1707  0.00000 17.642    0.000
1708  0.00000 17.644    0.000
1709  0.00000 17.643    0.000
1710  0.00000 17.642    0.031
1711  0.00000 17.639    0.000
1712  0.00000 17.637    0.031
1713  0.00000 17.639    0.000
1714  0.00000 17.641    0.000
1715  0.00000 17.640    0.000
1716  0.00000 17.636    0.000
1717  0.00000 17.634    0.031
1718  0.00000 17.633    0.000
1719  0.00000 17.634    0.000
1720  0.00000 17.635    0.031
1721  0.00000 17.628    0.031
1722  0.00000 17.629    0.000
1723  0.00000 17.633   -0.031
1724  0.00000 17.636    0.000
1725  0.00000 17.638    0.000
1726  0.00000 17.639    0.000
1727  0.00000 17.641    0.000
1728  0.00000 17.644    0.000
1729  0.00000 17.642    0.000
1730  0.00000 17.641    0.000
1731  0.00000 17.641    0.031
1732  0.00000 17.642    0.000
1733  0.00000 17.646    0.000
1734  0.00000 17.647    0.000
1735  0.00000 17.642    0.000
1736  0.00000 17.635    0.000
1737  0.00000 17.629    0.000
1738  0.00000 17.631    0.000
1739  0.00000 17.635    0.000
1740  0.00000 17.634   -0.031
1741  0.00000 17.633    0.000
1742  0.00000 17.633    0.031
1743  0.00000 17.634    0.031
1744  0.00000 17.635    0.000
1745  0.00000 17.638    0.000
1746  0.00000 17.644   -0.063
1747  0.00000 17.640   -0.031
1748  0.00000 17.634    0.000
1749  0.00000 17.636    0.000
1750  0.00000 17.641    0.000
1751  0.00000 17.644    0.000
1752  0.00000 17.649    0.000
1753  0.00000 17.651    0.000
1754  0.00000 17.645    0.000
1755  0.00000 17.625    0.000
1756  0.00000 17.613    0.000
1757  0.00000 17.617   -0.031
1758  0.00000 17.620    0.000
1759  0.00000 17.617    0.000
1760  0.00000 17.615    0.031
1761  0.00000 17.616    0.000
1762  0.00000 17.622    0.000
1763  0.00000 17.628    0.000
1764  0.00000 17.629    0.000
1765  0.00000 17.629    0.000
1766  0.00000 17.633    0.000
1767  0.00000 17.638    0.000
1768  0.00000 17.640   -0.031
1769  0.00000 17.642    0.000
1770  0.00000 17.645    0.000
1771  0.00000 17.645    0.000
1772  0.00000 17.646    0.000
1773  0.00000 17.648    0.000
1774  0.00000 17.650    0.000
1775  0.00000 17.652    0.000
1776  0.00000 17.656    0.000
1777  0.00000 17.661    0.000
1778  0.00000 17.665    0.000
1779  0.00000 17.668    0.000
1780  0.00000 17.672    0.000
1781  0.00000 17.675   -0.031
1782  0.00000 17.679    0.000
1783  0.00000 17.682    0.000
1784  0.00000 17.685    0.000
1785  0.00000 17.687    0.031
1786  0.00000 17.686    0.000
1787  0.00000 17.682    0.000
1788  0.00000 17.672    0.031
1789  0.00000 17.664    0.000
1790  0.00000 17.660    0.000
1791  0.00000 17.658   -0.031
1792  0.00000 17.658    0.000
1793  0.00000 17.657   -0.031
1794  0.00000 17.656    0.000
1795  0.00000 17.658    0.031
1796  0.00000 17.660    0.000
1797  0.00000 17.663    0.000
1798  0.00000 17.666    0.000
1799  0.00000 17.670    0.000
1800  0.00000 17.678    0.000
1801  0.00000 17.684   -0.031
1802  0.00000 17.688    0.000
1803  0.00000 17.688   -0.031
1804  0.00000 17.683    0.000
1805  0.00000 17.675    0.000
1806  0.00000 17.668    0.000
1807  0.00000 17.665    0.000
1808  0.00000 17.665    0.000
1809  0.00000 17.667    0.000
1810  0.00000 17.672    0.000
1811  0.00000 17.678    0.000
1812  0.00000 17.686    0.000
1813  0.00000 17.691    0.000
1814  0.00000 17.694    0.000
1815  0.00000 17.696    0.000
1816  0.00000 17.698    0.000
1817  0.00000 17.698    0.000
1818  0.00000 17.696    0.000
1819  0.00000 17.695    0.000
1820  0.00000 17.693    0.000
1821  0.00000 17.690    0.000
1822  0.00000 17.686    0.000
1823  0.00000 17.682    0.000
1824  0.00000 17.681   -0.031
1825  0.00000 17.684    0.000
1826  0.00000 17.689    0.000
1827  0.00000 17.693    0.000
1828  0.00000 17.696    0.000
1829  0.00000 17.697    0.000
1830  0.00000 17.698    0.000
1831  0.00000 17.700    0.031
1832  0.00000 17.704    0.031
1833  0.00000 17.709    0.000
1834  0.00000 17.712    0.000
1835  0.00000 17.713    0.000
1836  0.00000 17.711   -0.031
1837  0.00000 17.712    0.000
1838  0.00000 17.715    0.000
1839  0.00000 17.718    0.000
1840  0.00000 17.717    0.000
1841  0.00000 17.714    0.000
1842  0.00000 17.711    0.000
1843  0.00000 17.707    0.000
1844  0.00000 17.704    0.000
1845  0.00000 17.701    0.000
1846  0.00000 17.698    0.000
1847  0.00000 17.696    0.000
1848  0.00000 17.694   -0.031
1849  0.00000 17.692   -0.031
1850  0.00000 17.690    0.000
1851  0.00000 17.688    0.000
1852  0.00000 17.686    0.000
1853  0.00000 17.684    0.000
1854  0.00000 17.683    0.000
1855  0.00000 17.680    0.000
1856  0.00000 17.678    0.000
1857  0.00000 17.676    0.000
1858  0.00000 17.675    0.000
1859  0.00000 17.674    0.000
1860  0.00000 17.673    0.000
1861  0.00000 17.672   -0.031
1862  0.00000 17.671    0.000
1863  0.00000 17.672    0.000
1864  0.00000 17.672    0.000
1865  0.00000 17.673    0.000
1866  0.00000 17.674    0.000
1867  0.00000 17.676    0.000
1868  0.00000 17.677    0.000
1869  0.00000 17.679    0.000
1870  0.00000 17.681    0.000
1871  0.00000 17.682    0.000
1872  0.00000 17.684    0.000
1873  0.00000 17.685    0.000
1874  0.00000 17.687    0.000
1875  0.00000 17.688    0.000
1876  0.00000 17.689    0.000
1877  0.00000 17.690    0.031
1878  0.00000 17.690    0.031
1879  0.00000 17.691    0.000
1880  0.00000 17.692    0.000
1881  0.00000 17.693    0.000
1882  0.00000 17.695    0.000
1883  0.00000 17.696    0.000
1884  0.00000 17.697    0.000
1885  0.00000 17.698    0.000
1886  0.00000 17.699    0.000
1887  0.00000 17.700    0.000
1888  0.00000 17.701    0.000
1889  0.00000 17.702    0.000
1890  0.00000 17.703    0.000
1891  0.00000 17.704    0.000
1892  0.00000 17.705    0.000
1893  0.00000 17.706   -0.031
1894  0.00000 17.707    0.000
1895  0.00000 17.707    0.000
1896  0.00000 17.708   -0.031
1897  0.00000 17.709    0.000
1898  0.00000 17.709   -0.031
1899  0.00000 17.710    0.000
1900  0.00000 17.710    0.000
1901  0.00000 17.711    0.000
1902  0.00000 17.711    0.000
1903  0.00000 17.712    0.000
1904  0.00000 17.713    0.000
1905  0.00000 17.713    0.000
1906  0.00000 17.713   -0.031
1907  0.00000 17.714   -0.031
1908  0.00000 17.714   -0.031
1909  0.00000 17.715    0.000
1910  0.00000 17.716    0.000
1911  0.00000 17.717    0.031
1912  0.00000 17.717    0.000
1913  0.00000 17.718    0.000
1914  0.00000 17.719    0.000
1915  0.00000 17.720   -0.031
1916  0.00000 17.720    0.000
1917  0.00000 17.720   -0.031
1918  0.00000 17.720    0.000
1919  0.00000 17.720    0.000
1920  0.00000 17.721    0.000
1921  0.00000 17.721    0.000
1922  0.00000 17.721    0.000
1923  0.00000 17.722    0.000
1924  0.00000 17.723    0.000
1925  0.00000 17.723    0.000
1926  0.00000 17.724    0.000
1927  0.00000 17.725    0.000
1928  0.00000 17.726   -0.031
1929  0.00000 17.727   -0.031
1930  0.00000 17.728    0.000
1931  0.00000 17.730    0.000
1932  0.00000 17.730   -0.031
1933  0.00000 17.731    0.000
1934  0.00000 17.732    0.031
1935  0.00000 17.733    0.000
1936  0.00000 17.734    0.000
1937  0.00000 17.735    0.000
1938  0.00000 17.736    0.000
1939  0.00000 17.737    0.000
1940  0.00000 17.737    0.000
1941  0.00000 17.738    0.000
1942  0.00000 17.739    0.000
1943  0.00000 17.740    0.000
1944  0.00000 17.741    0.000
1945  0.00000 17.741    0.000
1946  0.00000 17.741    0.000
1947  0.00000 17.742    0.000
1948  0.00000 17.742    0.000
1949  0.00000 17.743    0.000
1950  0.00000 17.743    0.000
1951  0.00000 17.743    0.031
1952  0.00000 17.743    0.000
1953  0.00000 17.743    0.000
1954  0.00000 17.742    0.000
1955  0.00000 17.742    0.031
1956  0.00000 17.741    0.031
1957  0.00000 17.741    0.031
1958  0.00000 17.740    0.000
1959  0.00000 17.740   -0.031
1960  0.00000 17.739    0.000
1961  0.00000 17.738    0.000
1962  0.00000 17.738    0.000
1963  0.00000 17.738   -0.031
1964  0.00000 17.738    0.000
1965  0.00000 17.738    0.000
1966  0.00000 17.738    0.000
1967  0.00000 17.738    0.000
1968  0.00000 17.738    0.000
1969  0.00000 17.738    0.000
1970  0.00000 17.739    0.000
1971  0.00000 17.739    0.000
1972  0.00000 17.739    0.000
1973  0.00000 17.739    0.000
1974  0.00000 17.739    0.000
1975  0.00000 17.739    0.000
1976  0.00000 17.739    0.000
1977  0.00000 17.739    0.000
1978  0.00000 17.739    0.000
1979  0.00000 17.739    0.031
1980  0.00000 17.738    0.000
1981  0.00000 17.738    0.000
1982  0.00000 17.738   -0.031
1983  0.00000 17.738    0.000
1984  0.00000 17.738    0.000
1985  0.00000 17.738    0.000
1986  0.00000 17.739   -0.031
1987  0.00000 17.739    0.000
1988  0.00000 17.740    0.000
1989  0.00000 17.740    0.000
1990  0.00000 17.740    0.000
1991  0.00000 17.740    0.000
1992  0.00000 17.741    0.000
1993  0.00000 17.741    0.000
1994  0.00000 17.741    0.000
1995  0.00000 17.741    0.000
1996  0.00000 17.741    0.000
1997  0.00000 17.742   -0.031
1998  0.00000 17.742   -0.031
1999  0.00000 17.743    0.000
2000  0.00000 17.744    0.000
2001  0.00000 17.744    0.000
2002  0.00000 17.745    0.000
2003  0.00000 17.745   -0.031
2004  0.00000 17.744    0.000
2005  0.00000 17.744    0.000
2006  0.00000 17.743    0.000
2007  0.00000 17.743    0.000
2008  0.00000 17.742    0.000
2009  0.00000 17.741    0.000
2010  0.00000 17.740    0.000
2011  0.00000 17.738    0.000
2012  0.00000 17.737    0.000
2013  0.00000 17.736   -0.031
2014  0.00000 17.735   -0.031
2015  0.00000 17.735    0.000
2016  0.00000 17.735    0.000
2017  0.00000 17.734    0.000
2018  0.00000 17.734    0.000
2019  0.00000 17.734   -0.031
2020  0.00000 17.733   -0.031
2021  0.00000 17.733   -0.031
2022  0.00000 17.733   -0.031
2023  0.00000 17.733    0.000
2024  0.00000 17.733    0.000
2025  0.00000 17.733   -0.031
2026  0.00000 17.733    0.000
2027  0.00000 17.733    0.000
2028  0.00000 17.734    0.000
2029  0.00000 17.735    0.000
2030  0.00000 17.735    0.000
2031  0.00000 17.736    0.000
2032  0.00000 17.736    0.000
2033  0.00000 17.736    0.000
2034  0.00000 17.736    0.000
2035  0.00000 17.736    0.000
2036  0.00000 17.736    0.031
2037  0.00000 17.736    0.000
2038  0.00000 17.735   -0.031
2039  0.00000 17.735    0.000
2040  0.00000 17.735   -0.031
2041  0.00000 17.735    0.000
2042  0.00000 17.734    0.000
2043  0.00000 17.734    0.000
2044  0.00000 17.734    0.000
2045  0.00000 17.733    0.000
2046  0.00000 17.733    0.000
2047  0.00000 17.733    0.000
2048  0.00000 17.732    0.000
2049  0.00000 17.732    0.000
2050  0.00000 17.732    0.000
2051  0.00000 17.731   -0.031
2052  0.00000 17.731    0.000
2053  0.00000 17.731   -0.031
2054  0.00000 17.732    0.000
2055  0.00000 17.732    0.000
2056  0.00000 17.733    0.000
2057  0.00000 17.733    0.000
2058  0.00000 17.733    0.000
2059  0.00000 17.733    0.000
2060  0.00000 17.732   -0.031
2061  0.00000 17.732   -0.031
2062  0.00000 17.733    0.000
2063  0.00000 17.733    0.000
2064  0.00000 17.734   -0.031
2065  0.00000 17.734    0.000
2066  0.00000 17.734   -0.031
2067  0.00000 17.735    0.000
2068  0.00000 17.735    0.000
2069  0.00000 17.734    0.000
2070  0.00000 17.734    0.000
2071  0.00000 17.733    0.000
2072  0.00000 17.732    0.000
2073  0.00000 17.732   -0.031
2074  0.00000 17.733   -0.031
2075  0.00000 17.733   -0.031
2076  0.00000 17.734   -0.031
2077  0.00000 17.734    0.000
2078  0.00000 17.734   -0.031
2079  0.00000 17.734   -0.031
2080  0.00000 17.734    0.000
2081  0.00000 17.734    0.000
2082  0.00000 17.734    0.000
2083  0.00000 17.733    0.000
2084  0.00000 17.733    0.000
2085  0.00000 17.733    0.000
2086  0.00000 17.733    0.000
2087  0.00000 17.732    0.000
2088  0.00000 17.731    0.000
2089  0.00000 17.731    0.000
2090  0.00000 17.730   -0.031
2091  0.00000 17.730    0.000
2092  0.00000 17.729    0.000
2093  0.00000 17.727    0.000
2094  0.00000 17.726    0.000
2095  0.00000 17.725    0.000
2096  0.00000 17.724    0.000
2097  0.00000 17.724    0.000
2098  0.00000 17.724    0.000
2099  0.00000 17.723    0.000
2100  0.00000 17.722   -0.031
2101  0.00000 17.721   -0.031
2102  0.00000 17.720    0.000
2103  0.00000 17.719   -0.031
2104  0.00000 17.719   -0.031
2105  0.00000 17.717   -0.031
2106  0.00000 17.716   -0.031
2107  0.00000 17.716    0.000
2108  0.00000 17.714   -0.031
2109  0.00000 17.713   -0.031
2110  0.00000 17.711   -0.031
2111  0.00000 17.710   -0.031
2112  0.00000 17.708   -0.031
2113  0.00000 17.706   -0.031
2114  0.00000 17.705   -0.031
2115  0.00000 17.704   -0.031
2116  0.00000 17.703   -0.031
2117  0.00000 17.702   -0.031
2118  0.00000 17.702   -0.031
2119  0.00000 17.703    0.000
2120  0.00000 17.704   -0.031
2121  0.00000 17.703   -0.031
2122  0.00000 17.700   -0.031
2123  0.00000 17.697    0.000
2124  0.00000 17.699   -0.031
2125  0.00000 17.701   -0.031
2126  0.00000 17.703    0.000
2127  0.00000 17.704   -0.031
2128  0.00000 17.704    0.000
2129  0.00000 17.704   -0.031
2130  0.00000 17.703   -0.031
2131  0.00000 17.702   -0.031
2132  0.00000 17.700   -0.031
2133  0.00000 17.699   -0.031
2134  0.00000 17.697   -0.031
2135  0.00000 17.696    0.000
2136  0.00000 17.695    0.000
2137  0.00000 17.692   -0.031
2138  0.00000 17.690   -0.031
2139  0.00000 17.687    0.000
2140  0.00000 17.684    0.000
2141  0.00000 17.680   -0.031
2142  0.00000 17.676   -0.031
2143  0.00000 17.672   -0.031
2144  0.00000 17.667    0.000
2145  0.00000 17.664   -0.031
2146  0.00000 17.661   -0.031
2147  0.00000 17.658    0.000
2148  0.00000 17.655    0.000
2149  0.00000 17.652    0.000
2150  0.00000 17.649    0.000
2151  0.00000 17.646    0.031
2152  0.00000 17.643    0.000
2153  0.00000 17.640    0.000
2154  0.00000 17.637    0.000
2155  0.00000 17.634    0.000
2156  0.00000 17.631    0.000
2157  0.00000 17.629    0.000
2158  0.00000 17.627    0.000
2159  0.00000 17.625    0.000
2160  0.00000 17.623    0.000
2161  0.00000 17.622    0.000
2162  0.00000 17.620    0.000
2163  0.00000 17.619    0.000
2164  0.00000 17.618    0.000
2165  0.00000 17.616    0.000
2166  0.00000 17.615    0.000
2167  0.00000 17.613    0.000
2168  0.00000 17.611    0.000
2169  0.00000 17.609    0.000
2170  0.00000 17.608    0.000
2171  0.00000 17.606    0.000
2172  0.00000 17.604    0.000
2173  0.00000 17.603   -0.031
2174  0.00000 17.601   -0.031
2175  0.00000 17.600    0.000
2176  0.00000 17.599    0.000
2177  0.00000 17.598    0.000
2178  0.00000 17.599   -0.031
2179  0.00000 17.598    0.000
2180  0.00000 17.592    0.000
2181  0.00000 17.586   -0.031
2182  0.00000 17.582   -0.031
2183  0.00000 17.579    0.000
2184  0.00000 17.578    0.000
2185  0.00000 17.577    0.000
2186  0.00000 17.573    0.000
2187  0.00000 17.569    0.000
2188  0.00000 17.568   -0.031
2189  0.00000 17.568   -0.031
2190  0.00000 17.567   -0.031
2191  0.00000 17.566   -0.031
2192  0.00000 17.566   -0.031
2193  0.00000 17.565   -0.031
2194  0.00000 17.565   -0.031
2195  0.00000 17.563    0.000
2196  0.00000 17.561    0.000
2197  0.00000 17.558    0.000
2198  0.00000 17.551    0.000
2199  0.00000 17.543    0.000
2200  0.00000 17.532    0.000
2201  0.00000 17.525    0.000
2202  0.00000 17.518   -0.031
2203  0.00000 17.513    0.000
2204  0.00000 17.512    0.000
2205  0.00000 17.514   -0.031
2206  0.00000 17.517   -0.031
2207  0.00000 17.520    0.000
2208  0.00000 17.525    0.000
2209  0.00000 17.529    0.000
2210  0.00000 17.533    0.000
2211  0.00000 17.537    0.000
2212  0.00000 17.540   -0.031
2213  0.00000 17.543    0.000
2214  0.00000 17.545   -0.031
2215  0.00000 17.546   -0.031
2216  0.00000 17.547   -0.031
2217  0.00000 17.548    0.000
2218  0.00000 17.548    0.000
2219  0.00000 17.548   -0.031
2220  0.00000 17.550    0.000
2221  0.00000 17.553    0.000
2222  0.00000 17.555    0.000
2223  0.00000 17.557    0.000
2224  0.00000 17.559    0.000
2225  0.00000 17.561    0.000
2226  0.00000 17.563   -0.031
2227  0.00000 17.563   -0.031
2228  0.00000 17.562   -0.031
2229  0.00000 17.560   -0.031
2230  0.00000 17.560    0.000
2231  0.00000 17.561    0.000
2232  0.00000 17.563    0.000
2233  0.00000 17.565    0.000
2234  0.00000 17.569    0.000
2235  0.00000 17.574    0.000
2236  0.00000 17.581    0.000
2237  0.00000 17.587    0.000
2238  0.00000 17.591    0.000
2239  0.00000 17.595    0.000
2240  0.00000 17.602    0.000
2241  0.00000 17.611    0.000
2242  0.00000 17.621    0.031
2243  0.00000 17.630    0.031
2244  0.00000 17.639    0.000
2245  0.00000 17.647    0.031
2246  0.00000 17.655    0.031
2247  0.00000 17.662    0.000
2248  0.00000 17.667    0.031
2249  0.00000 17.670    0.000
2250  0.00000 17.669    0.000
2251  0.00000 17.669    0.031
2252  0.00000 17.673    0.000
2253  0.00000 17.678    0.000
2254  0.00000 17.682    0.000
2255  0.00000 17.685    0.031
2256  0.00000 17.688    0.000
2257  0.00000 17.689    0.000
2258  0.00000 17.689    0.000
2259  0.00000 17.690    0.000
2260  0.00000 17.692    0.031
2261  0.00000 17.695    0.000
2262  0.00000 17.696    0.000
2263  0.00000 17.696    0.000
2264  0.00000 17.696    0.000
