*PS118_3-1
*Lat -63.420
*Lon -56.615
*Cast 3 21 Feb 2019 22:14:27 4800 4.14 normal end
*ConfigurationData:
*DeviceType=90745 UCTD
*Version=CTD
*SerialNumber=70200240
*Settings:
*ReplyFormat=plain text
*BlueToothBaudRate=9600
*CalibrationCoefficients:
*Temperature:
*CalDate=22-Jun-18
*Coefficients:
*A0=8.159933e-04
*A1=2.842136e-04
*A2=-2.477711e-06
*A3=2.057825e-07
*Conductivity:
*CalDate=22-Jun-18
*Coefficients:
*G=-9.785558e-01
*H=1.515467e-01
*I=-3.345472e-04
*J=5.199529e-05
*PCOR=-9.570000e-08
*TCOR=3.250000e-06
*SLOPE=1.000000e+00
*Pressure:
*CalDate=21-Jun-18
*SerialNumber=4632589
*Coefficients:
*A0=7.164904e-01
*A1=8.943803e-03
*A2=4.003241e-11
*PTEMP A0=-9.068422e+01
*PTEMP A1=3.690209e-02
*PTEMP A2=1.012678e-06
*TC A0=5.255498e+05
*TC A1=-6.376865e+00
*TC A2=4.055661e-01
*TC B0=1.031837e+02
*TC B1=-3.724696e-03
*TC B2=0.000000e+00
*RANGE=2.900000e+03
*OFFSET=0.000000e+00
*sampling rate: 16 Hz
*scan# C[S/m]  T[degC]  P[dbar]
624  2.80375 -0.751  162.719
625  2.80375 -0.750  162.969
626  2.80375 -0.751  163.219
627  2.80375 -0.751  163.531
628  2.80375 -0.751  163.875
629  2.80375 -0.751  164.094
630  2.80375 -0.751  164.344
631  2.80375 -0.751  164.594
632  2.80375 -0.751  164.844
633  2.80375 -0.751  165.156
634  2.80375 -0.751  165.500
635  2.80375 -0.751  165.750
636  2.80375 -0.752  165.969
637  2.80396 -0.752  166.219
638  2.80396 -0.752  166.469
639  2.80396 -0.751  166.688
640  2.80396 -0.751  167.031
641  2.80396 -0.752  167.375
642  2.80396 -0.751  167.625
643  2.80396 -0.751  167.875
644  2.80396 -0.751  168.063
645  2.80396 -0.751  168.313
646  2.80396 -0.752  168.594
647  2.80396 -0.752  168.875
648  2.80396 -0.752  169.219
649  2.80396 -0.752  169.531
650  2.80396 -0.752  169.781
651  2.80396 -0.752  170.000
652  2.80396 -0.752  170.219
653  2.80417 -0.752  170.500
654  2.80396 -0.751  170.750
655  2.80417 -0.751  171.000
656  2.80417 -0.752  171.375
657  2.80396 -0.752  171.688
658  2.80396 -0.752  171.906
659  2.80417 -0.753  172.156
660  2.80417 -0.753  172.406
661  2.80417 -0.752  172.656
662  2.80417 -0.752  172.875
663  2.80417 -0.751  173.125
664  2.80417 -0.751  173.406
665  2.80417 -0.751  173.781
666  2.80417 -0.751  174.094
667  2.80417 -0.752  174.344
668  2.80417 -0.752  174.563
669  2.80417 -0.752  174.781
670  2.80417 -0.752  175.031
671  2.80417 -0.752  175.281
672  2.80417 -0.752  175.563
673  2.80417 -0.752  175.844
674  2.80417 -0.752  176.188
675  2.80417 -0.752  176.469
676  2.80417 -0.753  176.813
677  2.80417 -0.753  177.063
678  2.80417 -0.753  177.313
679  2.80437 -0.753  177.531
680  2.80458 -0.752  177.781
681  2.80437 -0.752  178.031
682  2.80437 -0.752  178.281
683  2.80417 -0.753  178.531
684  2.80396 -0.755  178.813
685  2.80417 -0.757  179.063
686  2.80354 -0.758  179.344
687  2.80333 -0.763  179.688
688  2.80312 -0.768  180.000
689  2.80333 -0.771  180.250
690  2.80333 -0.773  180.531
691  2.80354 -0.772  180.750
692  2.80312 -0.771  180.969
693  2.80312 -0.774  181.188
694  2.80292 -0.778  181.438
695  2.80292 -0.780  181.656
696  2.80292 -0.781  181.938
697  2.80292 -0.782  182.156
698  2.80292 -0.783  182.406
699  2.80292 -0.783  182.656
700  2.80292 -0.783  182.906
701  2.80292 -0.783  183.219
702  2.80292 -0.783  183.563
703  2.80292 -0.782  183.844
704  2.80292 -0.782  184.094
705  2.80292 -0.783  184.313
706  2.80292 -0.782  184.531
707  2.80292 -0.782  184.719
708  2.80312 -0.782  184.969
709  2.80292 -0.782  185.188
710  2.80292 -0.782  185.438
711  2.80292 -0.782  185.688
712  2.80292 -0.783  185.938
713  2.80312 -0.783  186.219
714  2.80292 -0.783  186.500
715  2.80292 -0.784  186.750
716  2.80292 -0.785  187.000
717  2.80292 -0.785  187.188
718  2.80312 -0.785  187.438
719  2.80312 -0.785  187.688
720  2.80312 -0.784  187.938
721  2.80312 -0.782  188.219
722  2.80312 -0.782  188.500
723  2.80312 -0.782  188.781
724  2.80312 -0.782  189.063
725  2.80312 -0.782  189.281
726  2.80333 -0.783  189.500
727  2.80312 -0.783  189.688
728  2.80312 -0.783  189.875
729  2.80312 -0.783  190.063
730  2.80312 -0.783  190.188
731  2.80312 -0.783  190.375
732  2.80333 -0.783  190.625
733  2.80312 -0.783  190.875
734  2.80333 -0.783  191.094
735  2.80312 -0.782  191.281
736  2.80333 -0.783  191.563
737  2.80333 -0.783  191.781
738  2.80333 -0.782  192.000
739  2.80333 -0.782  192.219
740  2.80333 -0.782  192.469
741  2.80333 -0.782  192.781
742  2.80333 -0.783  193.063
743  2.80333 -0.783  193.344
744  2.80354 -0.783  193.594
745  2.80333 -0.782  193.813
746  2.80375 -0.782  194.063
747  2.80354 -0.780  194.313
748  2.80375 -0.778  194.500
749  2.80375 -0.779  194.688
750  2.80396 -0.778  194.875
751  2.80375 -0.777  195.125
752  2.80375 -0.777  195.344
753  2.80354 -0.777  195.563
754  2.80354 -0.779  195.844
755  2.80333 -0.781  196.125
756  2.80354 -0.783  196.438
